Market,Variety,Modal_Price,Commodity_Code,month,year,season,day_of_week
0,1,3555,13,2,2018,3,5
0,1,3410,13,2,2018,3,1
0,1,3425,13,2,2018,3,3
0,1,3340,13,2,2018,3,3
0,1,3659,13,3,2018,3,1
0,1,3527,13,3,2018,3,2
0,1,3535,13,3,2018,3,4
0,1,3500,13,3,2018,3,6
0,1,3211,13,3,2018,3,6
0,1,3250,13,4,2018,4,5
0,1,3500,13,4,2018,4,4
0,1,2950,13,5,2018,4,5
0,1,3135,13,5,2018,4,1
0,1,3125,13,5,2018,4,1
0,1,3150,13,5,2018,4,2
0,1,3318,13,5,2018,4,6
0,1,3413,13,6,2018,1,2
0,1,3300,13,6,2018,1,5
0,1,3250,13,6,2018,1,6
0,1,3550,13,7,2018,1,3
0,1,3275,13,7,2018,1,2
0,1,3250,13,8,2018,0,5
0,1,3225,13,8,2018,0,2
0,1,3250,13,8,2018,0,3
0,1,2950,13,8,2018,0,2
0,1,2950,13,9,2018,0,4
0,1,3075,13,9,2018,0,4
0,1,3275,13,10,2018,2,1
0,1,3330,13,10,2018,2,3
0,1,3275,13,10,2018,2,4
0,1,3250,13,11,2018,2,3
0,1,3275,13,11,2018,2,1
0,1,3250,13,11,2018,2,5
0,1,3240,13,11,2018,2,6
0,1,3230,13,11,2018,2,3
0,1,3275,13,0,2019,5,3
0,1,3350,13,0,2019,5,1
0,1,3380,13,0,2019,5,5
0,1,3575,13,0,2019,5,2
0,1,3540,13,1,2019,5,6
0,1,3590,13,1,2019,5,5
0,1,3580,13,3,2019,3,1
0,1,3630,13,3,2019,3,4
0,1,3500,13,4,2019,4,4
0,1,3470,13,4,2019,4,5
0,1,3525,13,4,2019,4,3
0,1,3450,13,4,2019,4,2
0,1,3565,13,5,2019,4,1
0,1,3535,13,5,2019,4,2
0,1,3545,13,5,2019,4,3
0,1,3575,13,6,2019,1,6
0,1,3382,13,6,2019,1,3
0,1,3525,13,7,2019,1,4
0,1,3605,13,7,2019,1,2
0,1,3660,13,8,2019,0,6
0,1,3620,13,8,2019,0,3
0,1,3380,13,9,2019,0,4
0,1,3300,13,10,2019,2,1
0,1,3325,13,10,2019,2,4
0,1,3350,13,10,2019,2,1
0,1,3580,13,11,2019,2,5
0,1,3670,13,11,2019,2,6
0,1,3800,13,11,2019,2,4
0,1,3800,13,11,2019,2,6
0,1,4025,13,0,2020,5,3
0,1,3800,13,0,2020,5,5
0,1,3600,13,0,2020,5,6
0,1,3700,13,0,2020,5,1
0,1,3750,13,0,2020,5,5
0,1,3800,13,1,2020,5,6
0,1,3600,13,1,2020,5,3
0,1,3800,13,1,2020,5,6
0,1,3520,13,4,2020,4,4
0,1,3550,13,4,2020,4,2
0,1,3475,13,4,2020,4,6
0,1,3550,13,5,2020,4,6
0,1,3590,13,5,2020,4,5
0,1,4235,13,0,2021,5,1
0,1,6350,13,5,2021,4,5
0,1,6900,13,5,2021,4,1
0,1,7000,13,5,2021,4,1
0,1,7000,13,8,2021,0,4
0,1,5500,13,8,2021,0,5
0,1,5350,13,8,2021,0,1
0,1,4850,13,9,2021,0,2
0,1,4850,13,9,2021,0,3
0,1,4900,13,9,2021,0,6
0,1,5100,13,10,2021,2,6
0,1,5870,13,10,2021,2,6
0,1,6210,13,0,2022,5,6
0,1,6115,13,6,2022,1,6
0,1,5257,13,0,2023,5,3
0,1,5235,13,0,2023,5,6
0,1,5130,13,0,2023,5,6
0,1,5132,13,0,2023,5,1
0,1,5140,13,1,2023,5,4
0,1,5170,13,1,2023,5,1
0,1,5205,13,1,2023,5,3
0,1,5180,13,1,2023,5,2
0,1,5195,13,1,2023,5,4
0,1,5195,13,1,2023,5,5
0,1,4983,13,2,2023,3,6
0,1,5040,13,2,2023,3,3
0,1,5075,13,2,2023,3,4
0,1,5025,13,2,2023,3,3
0,1,4717,13,3,2023,3,5
0,1,4910,13,4,2023,4,6
0,1,4901,13,4,2023,4,3
0,1,4732,13,4,2023,4,3
0,1,4535,13,5,2023,4,5
0,1,4988,13,5,2023,4,5
0,1,4929,13,6,2023,1,6
0,1,5018,13,6,2023,1,2
0,1,4855,13,6,2023,1,4
0,1,4749,13,6,2023,1,5
0,1,4958,13,10,2023,2,3
0,1,4704,13,11,2023,2,4
0,1,4797,13,11,2023,2,4
0,1,4642,13,11,2023,2,6
0,1,4586,13,0,2024,5,1
0,1,4297,13,2,2024,3,2
0,1,4561,13,4,2024,4,4
0,1,4427,13,4,2024,4,1
0,1,4490,13,4,2024,4,2
0,1,4403,13,4,2024,4,5
0,1,4438,13,5,2024,4,6
0,1,4375,13,5,2024,4,5
0,1,4428,13,6,2024,1,1
0,1,4413,13,6,2024,1,4
0,1,4410,13,6,2024,1,1
0,1,4377,13,6,2024,1,6
0,1,4194,13,6,2024,1,2
0,1,3335,13,5,2015,4,2
0,1,3410,13,5,2015,4,4
0,1,3517,13,6,2015,1,2
0,1,3425,13,6,2015,1,3
0,1,3475,13,6,2015,1,4
0,1,3511,13,6,2015,1,4
0,1,3415,13,6,2015,1,3
0,1,3330,13,6,2015,1,6
0,1,3310,13,6,2015,1,4
0,1,3310,13,7,2015,1,1
0,1,3300,13,7,2015,1,2
0,1,3250,13,7,2015,1,6
0,1,3225,13,7,2015,1,3
0,1,3285,13,7,2015,1,4
0,1,3280,13,7,2015,1,5
0,1,3291,13,7,2015,1,1
0,1,3361,13,8,2015,0,2
0,1,3331,13,8,2015,0,3
0,1,3220,13,8,2015,0,2
0,1,3225,13,8,2015,0,3
0,1,3790,13,9,2015,0,3
0,1,3911,13,9,2015,0,4
0,1,4000,13,9,2015,0,5
0,1,3811,13,9,2015,0,1
0,1,3815,13,9,2015,0,2
0,1,3711,13,9,2015,0,5
0,1,3760,13,10,2015,2,6
0,1,3670,13,11,2015,2,3
0,1,3640,13,11,2015,2,4
0,1,3700,13,11,2015,2,6
0,1,3700,13,7,2014,1,3
0,1,3735,13,7,2014,1,6
0,1,2801,13,9,2014,0,4
0,1,3065,13,9,2014,0,5
0,1,3225,13,9,2014,0,3
0,1,3320,13,10,2014,2,2
0,1,3240,13,10,2014,2,1
0,1,3250,13,10,2014,2,3
0,1,3245,13,10,2014,2,5
0,1,3340,13,10,2014,2,2
0,1,2986,13,10,2014,2,6
0,1,3681,13,0,2016,5,5
0,1,3641,13,0,2016,5,3
0,1,3680,13,0,2016,5,3
